TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,TEMPERATURE,PRESSURE,VOLTAGE,CURRENT,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,CMD_ECHO,SUBSTATE,MAIN_SOC,BUS_POWER,ACTIVE_MECHS,ACTIVE_CAMERA,MATEK
1059,00:00:00,1,F,LAUNCH_PAD,-0.3,21.1,101324.4,4.2,0.55,0.0,0.0,0.0,0.0,0.0,9.81,00:00:00,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.292,0,0,EMULATOR
1059,00:00:01,2,F,LAUNCH_PAD,-0.2,21.0,101323.5,4.19,0.51,0.0,0.0,0.0,0.0,0.0,9.81,00:00:01,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.14,0,0,EMULATOR
1059,00:00:02,3,F,LAUNCH_PAD,-0.3,21.0,101331.6,4.2,0.51,0.0,0.0,0.0,0.0,0.0,9.81,00:00:02,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.145,0,0,EMULATOR
1059,00:00:03,4,F,LAUNCH_PAD,-0.2,20.9,101327.7,4.19,0.51,0.0,0.0,0.0,0.0,0.0,9.81,00:00:03,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.139,0,0,EMULATOR
1059,00:00:04,5,F,LAUNCH_PAD,-0.2,21.0,101325.9,4.19,0.55,0.0,0.0,0.0,0.0,0.0,9.81,00:00:04,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.291,0,0,EMULATOR
1059,00:00:05,6,F,LAUNCH_PAD,0.4,21.1,101322.6,4.18,0.52,0.0,0.0,0.0,0.0,0.0,9.81,00:00:05,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.169,0,0,EMULATOR
1059,00:00:06,7,F,LAUNCH_PAD,-0.5,21.1,101333.9,4.18,0.48,0.0,0.0,0.0,0.0,0.0,9.81,00:00:06,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.023,0,0,EMULATOR
1059,00:00:07,8,F,LAUNCH_PAD,-0.3,21.1,101325.2,4.18,0.51,0.0,0.0,0.0,0.0,0.0,9.81,00:00:07,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.144,0,0,EMULATOR
1059,00:00:08,9,F,LAUNCH_PAD,0.2,21.2,101323.5,4.17,0.5,0.0,0.0,0.0,0.0,0.0,9.81,00:00:08,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.073,0,0,EMULATOR
1059,00:00:09,10,F,LAUNCH_PAD,-0.1,21.2,101323.4,4.18,0.53,0.0,0.0,0.0,0.0,0.0,9.81,00:00:09,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.236,0,0,EMULATOR
1059,00:00:10,11,F,LAUNCH_PAD,0.3,21.1,101326.1,4.18,0.53,0.0,0.0,0.0,0.0,0.0,9.81,00:00:10,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.208,0,0,EMULATOR
1059,00:00:11,12,F,LAUNCH_PAD,0.3,21.2,101323.6,4.19,0.53,0.0,0.0,0.0,0.0,0.0,9.81,00:00:11,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.203,0,0,EMULATOR
1059,00:00:12,13,F,LAUNCH_PAD,0.0,21.1,101325.5,4.19,0.52,0.0,0.0,0.0,0.0,0.0,9.81,00:00:12,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.166,0,0,EMULATOR
1059,00:00:13,14,F,LAUNCH_PAD,0.4,21.2,101317.2,4.18,0.51,0.0,0.0,0.0,0.0,0.0,9.81,00:00:13,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.138,0,0,EMULATOR
1059,00:00:14,15,F,LAUNCH_PAD,0.1,21.2,101328.9,4.19,0.54,0.0,0.0,0.0,0.0,0.0,9.81,00:00:14,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.245,0,0,EMULATOR
1059,00:00:15,16,F,LAUNCH_PAD,-0.1,21.3,101323.4,4.19,0.5,0.0,0.0,0.0,0.0,0.0,9.81,00:00:15,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.105,0,0,EMULATOR
1059,00:00:16,17,F,LAUNCH_PAD,-0.1,21.2,101325.1,4.2,0.5,0.0,0.0,0.0,0.0,0.0,9.81,00:00:16,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.085,0,0,EMULATOR
1059,00:00:17,18,F,LAUNCH_PAD,0.2,21.2,101318.7,4.2,0.52,0.0,0.0,0.0,0.0,0.0,9.81,00:00:17,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.171,0,0,EMULATOR
1059,00:00:18,19,F,LAUNCH_PAD,-0.2,21.3,101322.9,4.2,0.49,0.0,0.0,0.0,0.0,0.0,9.81,00:00:18,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.043,0,0,EMULATOR
1059,00:00:19,20,F,LAUNCH_PAD,-0.3,21.3,101326.8,4.2,0.45,0.0,0.0,0.0,0.0,0.0,9.81,00:00:19,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,1.892,0,0,EMULATOR
1059,00:00:20,21,F,LAUNCH_PAD,-0.4,21.4,101327.1,4.2,0.49,0.0,0.0,0.0,0.0,0.0,9.81,00:00:20,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.045,0,0,EMULATOR
1059,00:00:21,22,F,LAUNCH_PAD,0.4,21.3,101316.1,4.2,0.49,0.0,0.0,0.0,0.0,0.0,9.81,00:00:21,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.039,0,0,EMULATOR
1059,00:00:22,23,F,LAUNCH_PAD,0.2,21.3,101319.4,4.2,0.54,0.0,0.0,0.0,0.0,0.0,9.81,00:00:22,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.248,0,0,EMULATOR
1059,00:00:23,24,F,LAUNCH_PAD,-0.3,21.4,101331.0,4.19,0.51,0.0,0.0,0.0,0.0,0.0,9.81,00:00:23,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.142,0,0,EMULATOR
1059,00:00:24,25,F,LAUNCH_PAD,-0.0,21.4,101329.7,4.18,0.54,0.0,0.0,0.0,0.0,0.0,9.81,00:00:24,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.242,0,0,EMULATOR
1059,00:00:25,26,F,LAUNCH_PAD,-0.4,21.4,101325.9,4.19,0.5,0.0,0.0,0.0,0.0,0.0,9.81,00:00:25,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.104,0,0,EMULATOR
1059,00:00:26,27,F,LAUNCH_PAD,-0.0,21.4,101323.4,4.19,0.53,0.0,0.0,0.0,0.0,0.0,9.81,00:00:26,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.202,0,0,EMULATOR
1059,00:00:27,28,F,LAUNCH_PAD,-0.4,21.3,101332.5,4.18,0.52,0.0,0.0,0.0,0.0,0.0,9.81,00:00:27,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.156,0,0,EMULATOR
1059,00:00:28,29,F,LAUNCH_PAD,0.1,21.3,101327.2,4.18,0.49,0.0,0.0,0.0,0.0,0.0,9.81,00:00:28,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.029,0,0,EMULATOR
1059,00:00:29,30,F,LAUNCH_PAD,0.3,21.3,101325.5,4.18,0.5,0.0,0.0,0.0,0.0,0.0,9.81,00:00:29,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.109,0,0,EMULATOR
1059,00:00:30,31,F,LAUNCH_PAD,-0.5,21.2,101329.3,4.18,0.51,0.0,0.0,0.0,0.0,0.0,9.81,00:00:30,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.14,0,0,EMULATOR
1059,00:00:31,32,F,LAUNCH_PAD,0.2,21.1,101326.5,4.19,0.48,0.0,0.0,0.0,0.0,0.0,9.81,00:00:31,0.0,51.1833,-1.8214,8,CXON,DISARMED,95,2.029,0,0,EMULATOR
