[04:45:47.171] 1059, 00:00:00, 1, F, LAUNCH_PAD, 0.1, 21.0, 101325.3, 4.20, 0.48, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:00, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 2.028, 0, 0, EMULATOR
[04:45:48.178] 1059, 00:00:01, 2, F, LAUNCH_PAD, 0.1, 21.0, 101323.7, 4.20, 0.49, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:01, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 2.047, 0, 0, EMULATOR
[04:45:49.172] 1059, 00:00:02, 3, F, LAUNCH_PAD, 0.2, 21.0, 101323.5, 4.20, 0.45, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:02, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 1.891, 0, 0, EMULATOR
[04:45:50.179] 1059, 00:00:03, 4, F, LAUNCH_PAD, 0.3, 21.0, 101320.0, 4.19, 0.48, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:03, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 2.011, 0, 0, EMULATOR
[04:45:51.171] 1059, 00:00:04, 5, F, LAUNCH_PAD, 0.3, 20.9, 101318.3, 4.19, 0.45, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:04, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 1.886, 0, 0, EMULATOR
[04:45:52.182] 1059, 00:00:05, 6, F, LAUNCH_PAD, -0.3, 20.8, 101330.5, 4.20, 0.44, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:05, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 1.853, 0, 0, EMULATOR
[04:45:53.174] 1059, 00:00:06, 7, F, LAUNCH_PAD, -0.4, 20.9, 101333.1, 4.20, 0.45, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:06, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 1.898, 0, 0, EMULATOR
[04:45:54.183] 1059, 00:00:07, 8, F, LAUNCH_PAD, 0.2, 20.8, 101320.9, 4.20, 0.45, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:07, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 1.887, 0, 0, EMULATOR
[04:45:55.175] 1059, 00:00:08, 9, F, LAUNCH_PAD, 0.5, 20.9, 101322.8, 4.20, 0.50, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:08, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 2.089, 0, 0, EMULATOR
[04:45:56.184] 1059, 00:00:09, 10, F, LAUNCH_PAD, -0.2, 21.0, 101327.1, 4.20, 0.54, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:09, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 2.284, 0, 0, EMULATOR
[04:45:57.171] 1059, 00:00:10, 11, F, LAUNCH_PAD, 0.3, 21.0, 101325.5, 4.19, 0.55, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:10, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 2.296, 0, 0, EMULATOR
[04:45:58.185] 1059, 00:00:11, 12, F, LAUNCH_PAD, -0.4, 21.1, 101327.4, 4.19, 0.59, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:11, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 2.473, 0, 0, EMULATOR
[04:45:59.179] 1059, 00:00:12, 13, F, LAUNCH_PAD, 0.1, 21.1, 101326.8, 4.19, 0.59, 0.0, 0.0, 0.0, 0.00, 0.00, 9.81, 00:00:12, 0.0, 51.1833, -1.8214, 8, CXON, DISARMED, 95, 2.471, 0, 0, EMULATOR
